refno	poetry	anvaya
vrd_ramayana_anvaya_1_72_5	अस्य धर्मात्मनो राजन् रूपेणाप्रतिमं भुवि सुताद्वयं नरश्रेष्ठ पत्न्यर्थं वरयामहे	राजन् नरश्रेष्ठ रूपेण भुवि अप्रतिमम् अस्य धर्मात्मनः सुताद्वयम् पत्न्यर्थम् वरयामहे
vrd_ramayana_anvaya_1_72_6	भरतस्य कुमारस्य शत्रुघ्नस्य च धीमतः वरयामस्सुते राजन् तयोरर्थे महात्मनोः	राजन् कुमारस्य भरतस्य धीमतः शत्रुघ्नस्य च महात्मनोः तयोरर्थे सुते वरयामः
vrd_ramayana_anvaya_1_72_7	पुत्रा दशरथस्येमे रूपयौवनशालिनः लोकपालोपमास्सर्वे देवतुल्यपराक्रमाः	इमे दशरथस्य पुत्राः सर्वे रूपयौवनशालिनः लोकपालोपमाः देवतुल्यपराक्रमाः
vrd_ramayana_anvaya_1_72_8	उभयोरपि राजेन्द्र सम्बन्धेनानुबध्यताम् इक्ष्वाकोः कुलमव्यग्रं भवतःपुण्यकर्मणः	राजेन्द्र इक्ष्वाकोः पुण्यकर्मणः भवतः उभयोरपि कुलम् सम्बन्धेन अन्यग्रम् अनुबध्यताम्
vrd_ramayana_anvaya_1_72_9	विश्वामित्रवच श्शृत्वा वसिष्ठस्य मते तदा जनकः प्रांजलिर्वाक्यमुवाच मुनिपुङ्गवौ	तदा वसिष्ठस्य मते विश्वामित्रवचः शृत्वा जनकः प्रांजलिः मुनिपुङ्गवौ वाक्यम् उवाच
vrd_ramayana_anvaya_1_72_10	कुलं धन्यमिदं मन्ये येषां नो मुनिपुङ्गवौ सदृशं कुलसम्बन्धं यदाज्ञापयथः स्वयम्	येषाम् नः सदृशं कुलसम्बन्धम् मुनिपुङ्गवौ स्वयम् यत् आज्ञापयथः इदम् कुलम् धन्यम् मन्ये
vrd_ramayana_anvaya_1_72_11	एवं भवतु भद्रं वः कुशध्वजसुते इमे पत्न्यौ भजेतां सहितौ शत्रुघ्नभरतावुभौ	एवं भवतु वः भद्रंः इमे कुशध्वजसुते सहितौ शत्रुघ्नभरतौ उभौ पत्न्यौ भजेताम्
vrd_ramayana_anvaya_1_72_12	एकाह्ना राजपुत्रीणां चतसृणां महामुने पाणीन् गृह्णन्तु चत्वारो राजपुत्रा महाबलाः	महामुने महाबलाः चत्वारः राजपुत्राः एकाह्ना चतसृ़णाम् राजपुत्रीणाम् पाणीन् गृह्णन्तु
vrd_ramayana_anvaya_1_72_13	उत्तरे दिवसे ब्रह्मन् फल्गुनीभ्यां मनीषिणः वैवाहिकं प्रशंसन्ति भगो यत्र प्रजापतिः	ब्रह्मन् फल्गुनीभ्याम् उत्तरे दिवसे ), यत्र प्रजापतिः भगः वैवाहिकम् मनीषिणः प्रशंसन्ति
vrd_ramayana_anvaya_1_72_14	एवमुक्त्वा वचस्सौम्यं प्रत्युत्थाय कृताञ्जलिः उभौ मुनिवरौ राजा जनको वाक्यमब्रवीत्	जनकः राजा एवम् सौम्यम् वचः उक्त्वा प्रत्युत्थाय कृताञ्जलिः उभौ मुनिवरौ वाक्यम् अब्रवीत्
vrd_ramayana_anvaya_1_72_15	परो धर्मः कृतो मह्यं शिष्योऽस्मिभवतो सदा इमान्यासनमुख्यानि आसातां मुनिपुङ्गवौ	मह्यम् परः धर्मः कृतः सदा भवतोः शिष्यः अस्मि मुनिपुङ्गवौ इमानि आसनमुख्यानि आसाताम्
vrd_ramayana_anvaya_1_72_16	यथा दशरथस्येयं तथाऽयोध्या पुरी मम प्रभुत्वे नास्ति सन्देहो यथार्हं कर्तुमर्हथ	इयम् दशरथस्य यथा अयोध्या पुरी मम तथा प्रभुत्वे सन्देहः नास्ति यथार्हम् कर्तुम् अर्हथ
vrd_ramayana_anvaya_1_72_17	तथा ब्रुवति वैदेहे जनके रघुनन्दनः राजा दशरथो हृष्टः प्रत्युवाच महीपतिम्	वैदेहे जनके तथा ब्रुवति रघुनन्दनः राजा दशरथः हृष्टः महीपतिम् प्रत्युवाच
vrd_ramayana_anvaya_1_72_18	युवामसङ्ख्येयगुणौ भ्रातरौ मिथिलेश्वरौ ऋषयो राजसङ्घाश्च भवद्भ्यामभिपूजिताः	मिथिलेश्वरौ भ्रातरौ युवाम् असङ्ख्येयगुणौ भवद्भ्याम् ऋषयः राजसङ्घाश्च अभिपूजिताः
vrd_ramayana_anvaya_1_72_19	स्वस्ति प्राप्नुहि भद्रं ते गमिष्यामि स्वमालयम् श्राद्धकर्माणि सर्वाणि विधास्यामीति चाब्रवीत्	स्वस्ति प्राप्नुहि ते भद्रम् स्वम् आलयम् गमिष्यामि सर्वाणि श्राद्धकर्माणि विधास्यामि च इति अब्रवीत्
vrd_ramayana_anvaya_1_72_20	तमापृष्ट्वा नरपतिं राजा दशरथस्तदा मुनीन्द्रौ तौ पुरस्कृत्य जगामाशु महायशाः	तदा महायशाः राजा दशरथः तम् नरपतिम् आपृष्ट्वा तौ मुनीन्द्रौ पुरस्कृत्य आशु जगाम
vrd_ramayana_anvaya_1_72_21	स गत्वा निलयं राजा श्राद्धं कृत्वा विधानतः प्रभाते काल्यमुत्थाय चक्रे गोदानमुत्तमम्	सः राजा निलयम् गत्वा विधानतः श्राद्धम् कृत्वा प्रभाते उत्थाय काल्यम् उत्तमम् गोदानम् ), चक्रे
vrd_ramayana_anvaya_1_72_22	गवां शतसहस्राणि ब्राह्मणेभ्यो नराधिपः एकैकशो ददौ राजा पुत्रानुद्दिश्य धर्मतः	नराधिपः राजा पुत्रान् एकैकशः उद्धिश्य ब्राह्मणेभ्यः गवाम् शतसहस्राणि धर्मतः ददौ
vrd_ramayana_anvaya_1_72_23	सुवर्णश्रुङ्गा स्सम्पन्ना स्सवत्साः कांस्यदोहनाः गवां शतसहस्राणि चत्वारि पुरुषर्षभः वित्तमन्यच्च सुबहुद्विजेभ्यो रघुनन्दनः ददौ गोदानमुद्दिश्य पुत्राणां पुत्रवत्सलः	पुरुषर्षभः पुत्रवत्सलः रघुनन्दनः पुत्राणाम् गोदानम् उद्धिश्य सुवर्णश्रुङ्गाः सम्पन्नाः सवत्साः कांस्यदोहनाः गवाम् चत्वारि शतसहस्राणि अन्यत् सुबहु वित्तम् च द्विजेभ्यः ददौ
vrd_ramayana_anvaya_1_72_25	स सुतैः कृतगोदानैर्वृतस्तु नृपतिस्तदा लोकपालैरिवाभाति वृतः स्सौम्यः प्रजापतिः	कृतगोदानैः सुतैः वृतः सः नृपतिः तदा लोकपालैः वृतः सौम्यः प्रजापतिरिव आभाति
vrd_ramayana_anvaya_1_73_1	यस्मिंस्तु दिवसे राजा चक्रे गोदानमुत्तमम् तस्मिं स्तु दिवसे शूरो युधाजित्समुपेयिवान्	राजा यस्मिन् दिवसे उत्तमम् गोदानम् चक्रे तस्मिन् तु दिवसे शूरः युथाजित् समुपेयिवान्
vrd_ramayana_anvaya_1_73_2	पुत्रः केकयराजस्य साक्षाद्भरतमातुलः दृष्ट्वा पृष्ट्वा च कुशलं राजानमिदमब्रवीत्	केकयराजस्य पुत्रः साक्षात् भरतमातुलः राजानम् दृष्ट्वा कुशलम् पृष्ट्वा च राजानम् इदं अब्रवीत्
vrd_ramayana_anvaya_1_73_3	केकयाधिपती राजा स्नेहात् कुशलमब्रवीत् येषां कुशलकामोऽसि तेषां सम्प्रत्यनामयम्	केकयाधिपतिः राजा स्नेहात् कुशलम् अब्रवीत् येषाम् कुशलकामः असि तेषाम् सम्प्रति अनामयम्
vrd_ramayana_anvaya_1_73_4	स्वस्रीयं मम राजेन्द्र द्रष्टुकामो महीपतिः तदर्थमुपयातोऽहमयोध्यां रघुनन्दन	रघुनन्दन राजेन्द्र महीपतिः मम स्वस्रीयम् द्रष्टुकामः तदर्थम् अहम् अयोध्याम् उपयातः
vrd_ramayana_anvaya_1_73_5	श्रुत्वा त्वहमयोध्यायां विवाहार्थं तवात्मजान् मिथिलामुपयातांस्तु त्वया सह महीपते त्वरयाभ्युपयातोऽहं द्रष्टुकाम स्स्वसुस्सुतम्	महीपते तव आत्मजान् विवाहार्थम् त्वया सह मिथिलाम् उपयातान् अयोध्यायाम् श्रुत्वा अहम् स्वसुः सुतम् द्रष्टुकामः त्वरया अभ्युपयातः
vrd_ramayana_anvaya_1_73_6	अथ राजा दशरथः प्रियातिथिमुपस्थितम् दृष्ट्वा परमसत्कारैः पूजार्हं समपूजयत्	अथ राजा दशरथः उपस्थितम् प्रियातिथिम् दृष्ट्वा पूजार्हम् परमसत्कारैः समपूजयत्
vrd_ramayana_anvaya_1_73_7	ततस्तामुषितो रात्रिं सह पुत्रैर्महात्मभिः प्रभाते पुनरुत्थाय कृत्वा कर्माणि कर्मवित् ऋषींस्तदा पुरस्कृत्य यज्ञवाटमुपागमत्	ततः महात्मभिः पुत्रैः सह ताम् रात्रिम् उषितः कर्मवित् प्रभाते पुनः उत्थाय कर्माणि कृत्वा तदा ऋषीन् पुरस्कृत्य यज्ञवाटम् उपागमत्
vrd_ramayana_anvaya_1_73_9	युक्ते मुहूर्ते विजये सर्वाभरणभूषितैः भ्रातृभिस्सहितो रामः कृतकौतुकमंगलः वसिष्ठं पुरतः कृत्वा महर्षीनपरानपि पितु स्समीपमाश्रित्य तस्थौ भ्रातृभिरावृतः	युक्ते विजये मुहुर्ते सर्वाभरणभूषितैः ,भ्रातृभिः सहितः रामः कृतकौतुकमङ्गलः वसिष्ठम् अपरान् महर्षीनपि पुरतः कृत्वा पितुः समीपम् आश्रित्य भ्रातृभिः आवृतः तस्थौ
vrd_ramayana_anvaya_1_73_11	वसिष्ठो भगवानेत्य वैदेहमिदमब्रवीत् राजा दशरथो राजन् कृतकौतुकमङ्गलैः पुत्रैर्नरवर श्रेष्ठ दातारमभिकाङ्क्षते	भगवान् वसिष्ठः वैदेहम् एत्य इदम् अब्रवीत् राजन् नरवर श्रेष्ठ राजा दशरथः कृतकौतुकमङ्गलैः पुत्रैः दातारम् अभिकाङ्क्षते
vrd_ramayana_anvaya_1_73_12	दातृप्रतिग्रहीतृभ्यां सर्वार्थाः प्रभवन्ति हि स्वधर्मं प्रतिपद्यस्व कृत्वा वैवाह्यमुत्तमम्	सर्वार्थाः दातृप्रतिग्रहीतृभ्याम् प्रभवन्ति हि उत्तमम् वैवाह्यम् कृत्वा स्वधर्मम् प्रतिपद्यस्व
vrd_ramayana_anvaya_1_73_13	इत्युक्तः परमोदारो वसिष्ठेन महात्मना प्रत्युवाच महातेजा वाक्यं परमधर्मवित्	महात्मना वसिष्ठेन इति उक्तः परमोदारः महातेजा परमधर्मवित् वाक्यम् प्रत्युवाच
vrd_ramayana_anvaya_1_73_14	कस्स्थितः प्रतिहारो मे कस्याज्ञा सम्प्रतीक्ष्यते स्वगृहे को विचारोऽस्ति यथा राज्यमिदं तव	मे प्रतिहारः कः स्थितः कस्य आज्ञा सम्प्रतीक्ष्यते स्वगृहे कः विचारः अस्ति इदम् राज्यम् तव यथा
vrd_ramayana_anvaya_1_73_15	कृतकौतुकसर्वस्वा वेदिमूलमुपागताः मम कन्या मुनिश्रेष्ठ दीप्ता वह्नेरिवार्चिषः	मुनिश्रेष्ठ मम कन्या कृतकौतुकसर्वस्वाः दीप्ताः वह्नेः अर्चिष इव वेदिमूलम् उपागताः
vrd_ramayana_anvaya_1_73_16	सज्जोऽहं त्वत्प्रतीक्षोऽस्मि वेद्यामस्यां प्रतिष्ठितः अविघ्नं कुरुतां राजा किमर्थमवलम्बते	सज्जः अहम् अस्याम् वेद्याम् प्रतिष्ठितः त्वत्प्रतीक्षः अस्मि राजा अविघ्नम् कुरुताम् किमर्थम् अवलम्बते
vrd_ramayana_anvaya_1_73_17	तद्वाक्यं जनकेनोक्तं श्रुत्वा दशरथस्तदा प्रवेशयामास सुतान् सर्वानृषिगणानपि	तदा दशरथः जनकेन उक्तम् तत् वाक्यम् श्रुत्वा सुतान् सर्वान् ऋषिगणानपि प्रवेशयामास
vrd_ramayana_anvaya_1_73_18	ततो राजा विदेहानां वसिष्ठमिदमब्रवीत् कारयस्व ऋषे सर्वमृषिभिः सह धार्मिक रामस्य लोकरामस्य क्रियां वैवाहिकीं विभो	ततः विदेहानाम् राजा वसिष्ठम् इदम् अब्रवीत् धार्मिक विभो ऋषे ऋषिभिः सह लोकरामस्य रामस्य वैवाहिकीम् क्रियाम् कारयस्व
vrd_ramayana_anvaya_1_73_20	तथेत्युक्त्वा तु जनकं वसिष्ठो भगवानृषिः विश्वामित्रं पुरस्कृत्य शतानन्दं च धार्मिकम् प्रपामध्ये तु विधिवत्वेदिं कृत्वा महातपाः अलञ्चकार तां वेदिं गन्धपुष्पै स्समन्ततः सुवर्णपालिकाभिश्च छिद्रकुम्भैश्च साङ्कुरैः अङ्कुराढ्यैश्शरावैश्च धूपपात्रै स्सधूपकैः शङ्खपात्रै स्स्रुवै स्स्रुग्भिः पात्रैरर्घ्याभिपूरितैः लाजपूर्णैश्च पात्रीभिरक्षतैरभिसंस्कृतैः	भगवान् महतपाः वसिष्ठः ऋषिः जनकम् तथा इति उक्त्वा विश्वामित्रम् धार्मिकम् शतानन्दं च पुरस्कृत्य प्रपामध्ये विधिवत् वेदिम् कृत्वा गन्धपुष्पैः सुवर्णपालिकाभिश्च साङ्कुरैः छिद्रकुम्भैश्च अङ्कुराढ्यैः शरावैश्च सधूपकैः धूपपात्रैः शङ्खपात्रैः सृवैः सृग्भिः अर्घ्याभिपूरितैः पात्रैः लाजपूर्णैः पात्रीभिः अभिसंस्कृतैः अक्षतैः ताम् वेदिम् समन्तत अलञ्चकार
vrd_ramayana_anvaya_1_73_24	दर्भैस्समैस्समास्तीर्य विधिवन्मन्त्रपूर्वकम् अग्निमादाय वेद्यां तु विधिमन्त्रपुरस्कृतम् जुहावाग्नौ महातेजा वसिष्ठो भगवानृषिः	महातेजाः भगवान् वसिष्ठः ऋषिः समैः दर्भैः विधिवत् मन्त्रपुरस्कृतम् समास्तीर्य विधिमन्त्रपुरस्कृतम् वेद्याम् अग्निम् आदाय अग्नौ जुहाव
vrd_ramayana_anvaya_1_73_25	ततस्सीतां समानीय सर्वाभरणभूषिताम् समक्षमग्ने स्संस्थाप्य राघवाभिमुखे तदा अब्रवीज्जनको राजा कौसल्यानन्दवर्धनम्	तत राजा जनकः सर्वाभरणभूषिताम् सीताम् समानीय अग्नेः समक्षम् राघवाभिमुखे संस्थाप्य तदा कौसल्यानन्दवर्धनम् अब्रवीत्
vrd_ramayana_anvaya_1_73_27	इयं सीता मम सुता सहधर्मचरी तव प्रतीच्छ चैनां भद्रं ते पाणिं गृह्णीष्व पाणिना	मम सुता तव सहधर्मचरी सीता इयम् एनाम् प्रतीच्छ च ते भद्रम् पाणिम् पाणिना गृह्णीष्व
vrd_ramayana_anvaya_1_73_28	पतिव्रता महाभागा छायेवानुगता सदा इत्युक्त्वा प्राक्षिपद्राजा मन्त्रपूतं जलं तदा	महाभागा पतिव्रता सदा छाया इव अनुगता इति उक्त्वा राजा तदा जलम् प्राक्षिपत्
vrd_ramayana_anvaya_1_73_29	साधु साध्विति देवाना मृषीणां वदतां तदा देवदुन्दुभिर्निर्घोषः पुष्पवर्षो महानभूत्	तदा साधु साधु इति वदताम् ऋषीणाम् देवानाम् देवदुन्दुभिनिर्घोषः महान् पुष्पवर्षः अभूत्
vrd_ramayana_anvaya_1_73_30	एवं दत्त्वा तदा सीतां मन्त्रोदकपुरस्कृताम् अब्रवीज्जनको राजा हर्षेणाभिपरिप्लुतः	तदा जनकः राजा मन्त्रोदकपुरस्कृताम् सीताम् दत्वा हर्षेण अभिपरिप्लुतः अब्रवीत्
vrd_ramayana_anvaya_1_73_31	लक्ष्मणागच्छ भद्रं ते ऊर्मिलामुद्यतां मया प्रतीच्छ पाणिं गृह्णीष्व माभूत्कालस्य पर्ययः	लक्ष्मण आगच्छ मया उद्यताम् ऊर्मिलाम् प्रतीच्छ पाणिम् (पाणिना गृह्णीष्व कालस्य पर्ययः माभूत्
vrd_ramayana_anvaya_1_73_32	तमेवमुक्त्वा जनको भरतं चाभ्यभाषत गृहाण पाणिं माण्डव्याः पाणिना रघुनन्दन	जनकः तम् एवम् उक्त्वा भरतं च अभ्यभाषत रघुनन्दन पाणिना माण्डव्याः पाणिम् गृहाण
vrd_ramayana_anvaya_1_73_33	शत्रुघ्नं चापि धर्मात्मा अब्रवीज्जनकेश्वरः श्रुतकीर्त्या महाबाहो पाणिं गृह्णीष्व पाणिना	धर्मात्मा जनकेश्वरः शत्रुघ्नं चापि अब्रवीत् महाबाहो पाणिना श्रुतकीर्त्याः पाणिम् गृह्णीष्व
vrd_ramayana_anvaya_1_73_34	सर्वे भवन्तस्सौम्याश्च सर्वे सुचरितव्रताः पत्नीभिस्सन्तु काकुत्स्था माभूत्कालस्य पर्ययः	काकुत्स्थाः भवन्तः सर्वे सौम्याः च सुचरितव्रताः पत्नीभिः सन्तु कालस्य पर्ययः माभूत्
vrd_ramayana_anvaya_1_73_35	जनकस्य वच श्शृत्वा पाणीन् पाणिभिरास्पृशन् चत्वारस्ते चतसृ़णां वसिष्ठस्य मते स्थिताः	ते चत्वारः जनकस्य वचः श्रुत्वा वसिष्ठस्य मते स्थिताः पाणिभिः चतसृ़णां पाणीन् अस्पृशन्
vrd_ramayana_anvaya_1_73_36	अग्निं प्रदक्षिणीकृत्य वेदिं राजानमेव च ऋषींश्चैव महात्मानस्सभार्या रघुसत्तमाः यथोक्तेन तदा चक्रुर्विवाहं विधिपूर्वकम्	महात्मानः रघुसत्तमाः सभार्या अग्निं वेदिम् राजानमेव च ऋषींश्चैव प्रदक्षिणीकृत्य यथोक्तेन विधिपूर्वकम् विवाहम् चक्रुः
vrd_ramayana_anvaya_1_73_37	काकुत्स्थैश्च गृहीतेषु ललितेषु च पाणिषु पुष्पवृष्टिर्महत्यासीदन्तरिक्षात्सुभास्वरा	काकुत्स्थैः ललितेषु पाणिषु गृहीतेषु अन्तरिक्षात् सुभास्वरा महती पुष्पवृष्टिः आसीत्
vrd_ramayana_anvaya_1_74_1	अथ रात्र्यां व्यतीतायां विश्वामित्रो महामुनिः आपृष्ट्वा तौ च राजानौ जगामोत्तरपर्वतम् आशीर्भिः पूरयित्वा च कुमारांश्च सराघवान्	अथ रात्र्याम् व्यतीतायाम् सः महामुनिः विश्वामित्रः राघवान् कुमारान् च आशीर्भिः पूरयित्वा तौ राजानै आपृष्ट्वा उत्तरपर्वतम् जगाम
vrd_ramayana_anvaya_1_74_2	विश्वामित्रे गते राजा वैदेहं मिथिलाधिपम् आपृष्ट्वाऽथ जगामाशु राजा दशरथः पुरीम्	विश्वामित्रे गते अथ राजा दशरथः राजा मिथिलाधिपम् वैदेहम् आपृष्ट्वा आशु पुरीम् जगाम
vrd_ramayana_anvaya_1_74_3	गच्छन्तं तं तु राजानमन्वगच्छन्नराधिपः अथ राजा विदेहानां ददौ कन्याधनं बहु	नराधिपः गच्छन्तम् तम् राजानम् अन्वगच्छत् अथ विदेहानाम् राजा बहु कन्याधनम् ददौ
vrd_ramayana_anvaya_1_74_4	गवां शतसहस्राणि बहूनि मिथिलेश्वरः कम्बलानां च मुख्यानां क्षौमकोट्यंबराणि च हस्त्यश्वरथपादातं दिव्यरूपं स्वलङ्कृतम् ददौ कन्यापिता तासां दासीदासमनुत्तमम्	कन्यापिता मिथिलेश्वरः गवाम् बहूनि शतसहस्राणि मुख्यानाम् कम्बलानाम् क्षौमकोट्यम्बराणि च हस्त्यश्वरथपादातम् दिव्यरूपम् स्वलङ्कृतम् अनुत्तमम् दासीदासम् तासाम् ददौ
vrd_ramayana_anvaya_1_74_6	हिरण्यस्य सुवर्णस्य मुक्तानां विद्रुमस्य च ददौ परमसंहृष्टः कन्याधनमनुत्तमम्	परमसंहृष्टः हिरण्यस्य सुवर्णस्य मुक्तानाम् विद्रुमस्य अनुत्तमम् कन्याधनम् ददौ
vrd_ramayana_anvaya_1_74_7	दत्त्वा बहु धनं राजा समनुज्ञाप्य पार्थिवम् प्रविवेश स्वनिलयं मिथिलां मिथिलेश्वरः	मिथिलेश्वरः राजा बहु धनं दत्त्वा पार्थिवम् समनुज्ञाप्य स्वनिलयम् मिथिलाम् प्रविवेश
vrd_ramayana_anvaya_1_74_8	राजाऽप्ययोध्याधिपतिस्सह पुत्रैर्महात्मभिः ऋषीन् सर्वान् पुरस्कृत्य जगाम सबलानुगः	अयोध्याधिपतिः राजापि महात्मभिः पुत्रैः सह सर्वान् ऋषीन् पुरस्कृत्य सबलानुगः जगाम
vrd_ramayana_anvaya_1_74_9	गच्छन्तं तं नरव्याघ्रं सर्षिसङ्घं सराघवम् घोराः स्म पक्षिणो वाचो व्याहरन्ति ततस्ततः	सर्षिसङ्घम् सराघवम् नरव्याघ्रम् तम् ततस्ततः घोराः पक्षिणः वाचः व्याहरन्ति स्म
vrd_ramayana_anvaya_1_74_10	भौमाश्चैव मृगा स्सर्वे गच्छन्ति स्म प्रदक्षिणम् तान् दृष्ट्वा राजशार्दूलो वसिष्ठं पर्यपृच्छत	भौमाः सर्वे मृगाः प्रदक्षिणम् गच्छन्ति तान् दृष्ट्वा राजशार्दूलः वसिष्ठम् पर्यपृच्छत
vrd_ramayana_anvaya_1_74_11	असौम्याः पक्षिणो घोरा मृगाश्चापि प्रदक्षिणाः किमिदं हृदयोत्कम्पि मनो मम विषीदति	घोराः पक्षिणः असौम्याः मृगाश्चापि प्रदक्षिणाः हृदयोत्कम्पि इदम् किम् मम मनः विषीदति
vrd_ramayana_anvaya_1_74_12	राज्ञो दशरथस्यैतच्छ्रुत्वा वाक्यं महानृषिः उवाच मधुरां वाणीं श्रूयतामस्य यत्फलम्	महानृषिः राज्ञः दशरथस्य एतत् वाक्यम् श्रुत्वा मधुराम् वाणीम् उवाच अस्य यत् फलम् श्रूयताम्
vrd_ramayana_anvaya_1_74_13	उपस्थितं भयं घोरं दिव्यं पक्षिमुखाच्च्युतम् मृगाः प्रशमयन्त्येते सन्तापस्त्यज्यतामयम्	पक्षिमुखात् च्युतम् दिव्यम् उपस्थितम् घोरम् भयम् एते मृगाः प्रशमयन्ति अयम् सन्तापः त्यज्यताम्
vrd_ramayana_anvaya_1_74_14	तेषां संवदतां तत्र वायुः प्रादुर्बभूव ह कम्पयन् पृथिवीं सर्वां पातयंश्च द्रुमांच्छुभान्	तेषां संवदताम् तत्र पृथिवीम् कम्पयन् शुभान् द्रुमान् पातयन् वायुः प्रादुर्बभूव ह
vrd_ramayana_anvaya_1_74_15	तमसा संवृतस्सूर्य स्सर्वा न प्रबभुर्दिश भस्मना चावृतं सर्वं संमूढमिव तद्बलम्	सूर्यः तमसा संवृतः सर्वाः दिशः न प्रबभुः तत् सर्वम् बलम् भस्मना आवृतं संमूढमिव
vrd_ramayana_anvaya_1_74_16	वसिष्ठश्चर्षयश्चान्ये राजा च ससुतस्तदा संसज्ञा इव तत्रासन् सर्वमन्यद्विचेतनम्	तदा वसिष्ठश्च अन्ये ऋषयश्च ससुतः राजा ससंज्ञाः इव (तत्र)आसन् अन्यत् सर्वम् विचेतनम्
vrd_ramayana_anvaya_1_74_17	तस्मिंस्तमसि घोरे तु भस्मच्छन्नेव सा चमूः ददर्श भीमसङ्काशं जटामण्डलधारिणम् भार्गवं जामदग्न्यं तं राजराजविमर्दिनम् कैलासमिव दुर्धर्षं कालाग्निमिव दुस्सहम् ज्वलंतमिव तेजोभिर्दुर्निरीक्ष्यं पृथग्जनैः स्कन्धे चासज्य परशुं धनुर्विद्युद्गणोपमम् प्रगृह्य शरमुख्यं च त्रिपुरघ्नं यथा शिवम्	तस्मिन् घोरे तमसि भस्मच्छन्नेव सा चमूः भीमसङ्काशम् जटामण्डलधारिणम् राजराजविमर्दिनम् कैलासमिव दुर्धर्षम् कालाग्निमिव दुस्सहम् तेजोभिः ज्वलन्तमिव पृथग्जनैः दुर्निरीक्षम् परशुम् स्कन्धे आसज्य विद्युद्गणोपमम् धनुः शरमुख्यम् प्रगृह्य त्रिपुरघ्नम् शिवं यथा तम् भार्गवम् जामदग्नयम् ददर्श
vrd_ramayana_anvaya_1_74_21	तं दृष्ट्वा भीमसङ्काशं ज्वलन्तमिव पावकम् वसिष्ठप्रमुखा विप्रा जपहोमपरायणाः सङ्गता मुनयस्सर्वे सञ्जजल्पुरथो मिथः	भीमसङ्काशम् ज्वलन्तम् पावकम् इव तम् दृष्ट्वा जपहोमपरायणाः विप्राः वसिष्ठप्रमुखाः सर्वे मुनयः सङ्गताः अथो मिथः सञ्जजल्पुः
vrd_ramayana_anvaya_1_74_22	कच्चित्पितृवधामर्षी क्षत्रं नोत्सादयिष्यति पूर्वं क्षत्रवधं कृत्वा गतमन्युर्गतज्वरः क्षत्रस्योत्सादनं भूयो न खल्वस्य चिकीर्षितम्	पितृवधामर्षी क्षत्रम् नोत्सादयिष्यतिकच्चित् पूर्वम् क्षत्रवधम् कृत्वा गतमन्युः गतज्वरः भूयः क्षत्रस्य उत्सादनम् अस्य न चिकीर्षितं खलु
vrd_ramayana_anvaya_1_74_24	एवमुक्त्वाऽर्घ्यमादाय भार्गवं भीमदर्शनम् ऋषयो राम रामेति वचो मधुरमब्रुवन्	ऋषयः एवम् उक्त्वा अर्घ्यम् आदाय भीमदर्शनम् भार्गवम् राम राम इति मधुरम् वचः अब्रुवन्
vrd_ramayana_anvaya_1_74_25	प्रतिगृह्य तु तां पूजामृषिदत्तां प्रतापवान् रामं दाशरथिं रामो जामदग्न्योऽभ्यभाषत	प्रतापवान् जामदग्न्यः रामः ऋषिदत्ताम् ताम् पूजाम् प्रतिगृह्य दाशरथिं रामम् अभ्यभाषत
vrd_ramayana_anvaya_1_75_1	राम दाशरथे राम वीर्यं ते श्रूयतेऽद्भुतम् धनुषो भेदनं चैव निखिलेन मया श्रुतम्	दाशरथे राम राम ते वीर्यम् अद्भुतम् श्रूयते धनुषः भेदनं चैव निखिलेन मया श्रुतम्
vrd_ramayana_anvaya_1_75_2	तदद्भुतमचिन्त्यं च भेदनं धनुषस्त्वया तच्छ्रुत्वाऽहमनुप्राप्तो धनुर्गृह्यापरं शुभम्	त्वया धनुषः तत् भेदनम् अद्भुतम् अचिन्त्यम् च तत् श्रुत्वा अहम् अपरम् शुभम् धनुः गृह्य अनुप्राप्तः
vrd_ramayana_anvaya_1_75_3	तदिदं घोरसङ्काशं जामदग्न्यं महद्धनुः पूरयस्व शरेणैव स्वबलं दर्शयस्व च	घोरसङ्काशं जामदग्न्यम् तत् इदम् महत् धनुः शरेणैव पूरयस्व स्वबलम् दर्शयस्व
vrd_ramayana_anvaya_1_75_4	तदहं ते बलं दृष्ट्वा धनुषोऽस्य प्रपूरणे द्वन्द्वयुद्धं प्रदास्यामि वीर्यश्लाघ्यस्य राघव	राघव तत् अहम् अस्य धनुषः प्रपूरणे ते बलम् दृष्ट्वा वीर्यश्लाघ्यस्य द्वन्द्वयुद्धं प्रदास्यामि
vrd_ramayana_anvaya_1_75_5	तस्य तद्वचनं श्रुत्वा राजा दशरथस्तदा विषण्णवदनो दीनः प्राञ्जलिर्वाक्यमब्रवीत्	तदा राजा दशरथ तस्य तत् वचनम् श्रुत्वा विषण्णवदनः दीनः प्राञ्जलिः वाक्यम् अब्रवीत्
vrd_ramayana_anvaya_1_75_6	क्षत्ररोषात्प्रशान्तस्त्वं ब्राह्मणश्च महायशाः बालानां मम पुत्राणामभयं दातुमर्हसि	क्षत्ररोषात् प्रशान्तः ब्राह्मणः महायशाः बालानाम् मम पुत्राणाम् अभयम् दातुम् अर्हसि
